138
63	640	0.38
188	640	0.38
339	640	0.37
440	640	0.34
433	670	0.36
201	680	0.385
331	687	0.38
86	694	0.385
408	698	0.37
551	699	0.385
614	699	0.385
203	723	0.39
326	726	0.385
99	741	0.39
551	744	0.39
614	744	0.39
302	747	0.395
201	757	0.395
110	773	0.395
304	778	0.4
551	780	0.4
614	780	0.4
201	788	0.4
317	799	0.401
114	801	0.4
325	821	0.4015
226	825	0.401
551	843	0.402
614	843	0.4
149	848	0.401
352	850	0.402
252	858	0.4015
410	888	0.4025
180	890	0.4015
307	919	0.4025
468	925	0.403
222	932	0.402
551	953	0.4035
614	953	0.404
192	958	0.402
265	972	0.4025
458	1004	0.4032
238	1011	0.4027
357	1029	0.403
551	1041	0.4037
614	1041	0.404
339	1073	0.4031
449	1089	0.4035
550	1097	0.4037
201	1126	0.4
339	1126	0.4
614	1126	0.404
0	695	0.385
0	741	0.39
0	801	0.4
0	883	0.4
0	964	0.4
0	1045	0.4
0	1126	0.4
614	640	0.34		
750	838	0.4
750	1040	0.4
750	950	0.401
750	1126	0.4
750	775	0.4
750	738	0.39
750	692	0.385
700	838	0.4
700	1040	0.402
700	950	0.402
700	1126	0.4025
700	775	0.4
700	738	0.39
700	692	0.385
650	838	0.4
650	1040	0.403
650	950	0.403
650	1126	0.403
650	775	0.4
650	738	0.39
650	692	0.385
600	692	0.385
0	570	0.37
539	574	0.2
70	574	0.37
491	570	0.2
600	557	0.2
472	530	0.22
702	456	0.195
647	310	0.195
799	316	0.2
576	289	0.215
361	219	0.25
648	154	0.08
612	0	0.08
0	0	0.28
799	0	0.08
688	269	0.15
568	208	0.15
727	199	0.08
432	189	0.2
800	200	0.08
800	486	0.2
457	578	0.3
660	519	0.2
433	0	0.15
280	0	0.2
690	372	0.195
181	355	0.3
263	282	0.27
100	0	0.25
0	253	0.3
109	460	0.35
452	612	0.32
234	488	0.35
364	540	0.33
378	351	0.26
457	426	0.24
297	417	0.3
403	475	0.3
0	459	0.35
418	262	0.23
0	1200	0.4
200	1200	0.4
400	1200	0.4
600	1200	0.4
800	1200	0.4
204	572	0.37
350	586	0.35
541	520	0.2
470	474	0.23
538	462	0.2
523	389	0.22
492	320	0.225
437	535	0.3
316	529	0.35
595	356	0.22
631	411	0.2
