index  neuron   ntails   itail   ltail 
      100000      3    1     0    4 
      100000      4    1     0    7 
      100000      5    1     0    3 
      100000      6    1     0    3 
      100000      7    1     0    5 
      100000      8    1     0    7 
      100000      9    1     0    7 
      100000     10    1     0    7 
      100000     11    1     0    3 
      100000     12    1     0    3 
      100000     13    1     0    5 
      100000     14    1     0    3 
      100000     15    2     0    7 
      100000     15    2     1    1 
      100000     16    1     0    7 
      100000     17    2     0    7 
      100000     17    2     1    1 
      100000     18    1     0    3 
      100000     19    2     0    7 
      100000     19    2     1    2 
      100000     20    1     0    3 
      105000      0    1     0    3 
      105000      1    1     0    3 
      105000      2    2     0    7 
      105000      2    2     1    1 
      105000      3    1     0    3 
      105000      4    2     0    7 
      105000      4    2     1    1 
      105000      5    1     0    3 
      105000      6    2     0    7 
      105000      6    2     1    2 
      105000      7    1     0    5 
      105000      8    1     0    4 
      105000      9    1     0    5 
      105000     10    1     0    5 
      105000     11    1     0    5 
      105000     12    1     0    3 
      105000     13    1     0    3 
      105000     14    1     0    5 
      105000     15    1     0    3 
      105000     16    1     0    5 
      105000     17    2     0    7 
      105000     17    2     1    1 
      105000     18    1     0    3 
      105000     19    1     0    7 
      105000     20    2     0    7 
      105000     20    2     1    1 
      105000     21    1     0    3 
      110000      0    1     0    3 
      110000      1    1     0    3 
      110000      2    1     0    5 
      110000      3    1     0    3 
      110000      4    2     0    7 
      110000      4    2     1    2 
      110000      5    1     0    4 
      110000      6    1     0    3 
      110000      7    1     0    5 
      110000      8    1     0    4 
      110000      9    1     0    3 
      110000     10    1     0    5 
      110000     11    1     0    3 
      110000     12    2     0    7 
      110000     12    2     1    2 
      110000     13    1     0    3 
      110000     14    1     0    5 
      110000     15    1     0    3 
      110000     16    1     0    5 
      110000     17    2     0    7 
      110000     17    2     1    2 
      110000     18    1     0    3 
      110000     19    2     0    7 
      110000     19    2     1    1 
      110000     20    1     0    7 
      110000     21    2     0    7 
      110000     21    2     1    2 
      110000     22    1     0    3 
      115000      0    1     0    3 
      115000      1    2     0    7 
      115000      1    2     1    3 
      115000      2    1     0    5 
      115000      3    2     0    7 
      115000      3    2     1    1 
      115000      4    2     0    7 
      115000      4    2     1    3 
      115000      5    1     0    3 
      115000      6    2     0    7 
      115000      6    2     1    1 
      115000      7    1     0    3 
      115000      8    1     0    3 
      115000      9    1     0    3 
      115000     10    1     0    5 
      115000     11    2     0    7 
      115000     11    2     1    1 
      115000     12    1     0    3 
      115000     13    1     0    3 
      115000     14    1     0    3 
      115000     15    2     0    7 
      115000     15    2     1    2 
      115000     16    1     0    3 
      115000     17    1     0    5 
      115000     18    1     0    3 
      115000     19    1     0    7 
      115000     20    2     0    7 
      115000     20    2     1    1 
      115000     21    2     0    7 
      115000     21    2     1    1 
      115000     22    2     0    7 
      115000     22    2     1    1 
      115000     23    1     0    3 
      120000      0    1     0    3 
      120000      1    2     0    7 
      120000      1    2     1    2 
      120000      2    1     0    3 
      120000      3    1     0    7 
      120000      4    1     0    7 
      120000      5    1     0    3 
      120000      6    1     0    4 
      120000      7    1     0    3 
      120000      8    2     0    7 
