0.000000 	    46.653 	    38.330  	   0.00000 	   0.00000 	   0.00000 	    0.00000	   0.00000	   0.00000	   0.00000	   0.00000
   50.000000 	    52.995 	    26.718  	   0.12684 	  -0.23224 	   0.00000 	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000
 50.000000 	    62.857 	    32.847  	   0.00000 	   0.00000 	   0.00000 	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000
 100.000000 	    52.558 	    14.760  	  -0.00873 	  -0.23916 	   0.00000 	   0.00000	   0.00000	   1.33333	   1.33333	   0.00000
 100.000000 	    68.228 	    30.296  	   0.10742 	  -0.05103 	   1.05980 	   0.00000	   0.00000	   1.33333	   1.33333	   0.00000
 100.000000 	    80.490 	    39.775  	   0.00000 	   0.00000 	   0.00000 	   0.00000	   0.00000	   1.33333	   1.33333	   0.00000
 150.000000 	    48.054 	    22.569  	  -0.09008 	   0.15619 	   1.01520 	   0.00000	   0.00000	   0.75000	   0.75000	   0.00000
 150.000000 	    72.074 	    29.120  	   0.07692 	  -0.02353 	   0.76840 	   0.00000	   0.00000	   0.75000	   0.75000	   0.00000
 150.000000 	    73.040 	    51.779  	  -0.14899 	   0.24008 	   0.00000 	   0.00000	   0.00000	   0.75000	   0.75000	   0.00000
 150.000000 	   123.725 	    49.317  	   0.00000 	   0.00000 	   0.00000 	   0.00000	   0.00000	   0.75000	   0.75000	   0.00000
 200.000000 	    49.012 	    27.432  	   0.01915 	   0.09726 	   1.51080 	   0.00000	   0.20000	   2.60000	   2.60000	   0.00000
 200.000000 	    80.241 	    22.325  	   0.16334 	  -0.13589 	   1.47660 	   0.00000	   0.20000	   2.60000	   2.60000	   0.00000
 200.000000 	    68.435 	    62.364  	  -0.09210 	   0.21170 	   0.88240 	   0.00000	   0.20000	   2.60000	   2.60000	   0.00000
 200.000000 	   129.499 	    52.381  	   0.11547 	   0.06128 	   0.70920 	   0.00000	   0.20000	   2.60000	   2.60000	   0.00000
 200.000000 	   103.211 	    35.515  	   0.00000 	   0.00000 	   0.00000 	   0.00000	   0.20000	   2.60000	   2.60000	   0.00000
 250.000000 	    46.753 	    30.315  	  -0.04517 	   0.05767 	   0.02380 	   0.00000	   0.00000	   0.33333	   0.33333	   0.00000
 250.000000 	    80.399 	    22.123  	   0.00316 	  -0.00404 	   0.96420 	   0.00000	   0.00000	   0.33333	   0.33333	   0.00000
 250.000000 	    64.389 	    64.474  	  -0.08093 	   0.04221 	   0.46580 	   0.00000	   0.00000	   0.33333	   0.33333	   0.00000
 250.000000 	   134.210 	    58.915  	   0.09422 	   0.13068 	   1.99160 	   0.00000	   0.00000	   0.33333	   0.33333	   0.00000
 250.000000 	   123.339 	    34.631  	   0.40256 	  -0.01769 	   0.00000 	   0.00000	   0.00000	   0.33333	   0.33333	   0.00000
 250.000000 	   120.578 	    32.747  	   0.00000 	   0.00000 	   0.00000 	   0.00000	   0.00000	   0.33333	   0.33333	   0.00000
