60
0	0	0.38
120	0	0.38
264	0	0.37
362	0	0.37
354	28	0.375
133	38	0.385
257	44	0.385
22	51	0.385
331	55	0.385
467	56	0.385
528	56	0.385
134	79	0.39
252	82	0.39
34	96	0.39
467	98	0.39
528	98	0.39
229	101	0.395
133	112	0.395
45	126	0.395
231	131	0.4
467	133	0.4
528	133	0.4
132	141	0.4
244	152	0.401
49	153	0.4
251	172	0.4015
156	176	0.401
467	193	0.402
528	193	0.404
83	198	0.401
277	200	0.402
181	208	0.4015
333	236	0.4025
112	238	0.4015
234	266	0.4025
389	271	0.403
152	278	0.402
467	298	0.4035
528	298	0.404
124	302	0.402
194	316	0.4025
379	347	0.4032
168	353	0.4027
282	371	0.403
467	382	0.4037
528	382	0.404
264	413	0.4031
370	427	0.4035
466	436	0.4037
132	463	0.4
264	463	0.4
528	463	0.404
0	52	0.385
0	96	0.39
0	153	0.4
0	232	0.4
0	309	0.4
0	386	0.4
0	463	0.4
528	0	0.34
